id,name,description,alias
23,咳嗽,临床以从肺经喉发出“咳、咳”有声为特征的症状。多因六淫外邪袭肺，或有害气体刺激，痰饮停肺，气阴亏虚等致使肺失清肃，肺气上逆所致。注： 常见于外感病、肺系病，以及其他脏腑疾病影响到肺的疾病。,
24,气喘,临床以呼吸困难，气息迫促为特征的症状。多因外感风寒、风热袭肺，或因邪热炽盛、痰饮停肺、肺肾气虚等所致。注： 常见于外感病、肺系病、心系病、咽喉病、痰饮病、水肿病、虚劳、厥脱病、腹内肿瘤等。,
25,咳血,临床以血来自肺或气管，血随咳嗽而出等为特征的症状。多因外伤或外邪犯肺，或肝火犯肺、阴虚火旺，或气不摄血等，致使肺络受损，血溢脉外所致。注： 常见于肺痨、肺癌、肺络胀等多种肺系病，以及血溢病、疫斑热、稻瘟病、心衰等。,
26,胸痛,临床以心胸、胸肋等部位自觉疼痛，或切按则痛等为特征的症状。多因胸部外伤，或因火热内灼、痰饮内阻、气滞血瘀等所致。注： 常见于胸肋部损伤、气胸，以及肺痈、肺热病、悬饮、百日咳、肺癌、胸痹心痛等肺系、心系、胸膈等多种疾病。,
27,心悸,临床以自觉心搏异常跳动，心慌不安，或时作时止等为特征的症状。多因气虚血弱，心失所养，或因情绪刺激、外邪直中心络，或痰饮、瘀血等痹阻心脉所致。注： 常见于心痹、心瘅等心系病，以及肺系病、情志病、虚劳、瘿病等。,
28,心痛,临床以自觉膻中部位及偏左侧的心胸疼痛等为特征的症状。多因痰浊瘀血内阻，阳虚寒凝，或阴血亏虚等所致。注： 常见于胸痹心痛、真心痛、心痹、心瘅等心系病。,
29,呕吐,临床以胃内容物从口中吐出，或恶心作哕等为特征的症状。多因外感或内伤，以及头部损伤、妊娠、药物中毒等各种原因引起胃失和降、胃气上逆所致。注： 常见于胃肠及肝胆胰疾病，晕动病、恶阻、颅内病变、厥脱病、药物中毒等。,
30,干呕,临床以时作恶心，但有声而无物吐出，或仅哕出涎沫而无食物等为特征的症状。多因胃虚气逆，或因肝气犯胃，胃失和降，气逆上冲所致。,
31,暴吐,临床以突发呕吐，或暴吐如喷，不能自已，呕吐物多为食物、痰涎或胆汁等为特征的症状。多因暴饮暴食，或外感疫毒，或食物、药物中毒，邪毒犯胃，暴逆上冲所致。,
32,呕血,临床以血液自胃或食管上泛，经口呕吐而出等为特征的症状。多因肝胃积热、脾气虚弱、瘀血阻滞等多种原因，使胃络受损，胃失和降所致。注： 常见于胃瘅、胃疡、臌胀、血溢病、胃癌、肝癌等。,
33,胃痛,临床以自觉剑突下的上腹部疼痛，或切按则痛等为特征的症状。多因寒热侵扰，或饮食失调，阴阳气血不足，气滞血瘀等，使胃失和降所致。注： 常见于胃部病变及肠、胰、胆、肝、脾的病变，亦可见于厥心痛等。,"胃脘痛, 脘痛"
34,脘痞,临床以胃脘胀满，切按柔软、不痛为特征的症状。可因寒热互结，气机阻滞，或脾胃气虚，运化失健等所致。注： 常见于胃、肝胆、脾胰及虚劳等慢性疾病。,
35,嘈杂,临床以自觉胃中空虚，似饥非饥，似痛非痛，似辣非辣，懊憹莫可名状等为特征的症状。多因伤食、胃寒、胃热、阴血亏虚及肝胃不和等所致。注： 常见于胃、食管病变，以及胆胀、胰胀等。,
36,胁痛,临床以自觉一侧或两侧胁肋部疼痛，或切按则痛等为特征的症状。多因气机郁滞，脉络失和，或胆汁淤积等所致。注： 常见于肝癌、肝痈、肝热病、肝着、臌胀、胆瘅、胆胀、悬饮、肥气、干胁痛、胁肋痛等。,
37,黄疸,临床以白睛、皮肤黏膜及小便发黄等为特征的症状。多因外感湿热疫毒，或酒客湿热内蕴，或寒湿困脾，血瘀气滞，致使胆汁外溢等所致。注： 常见于肝瘟、肝热病、稻瘟病、阳黄病、阴黄病、胆疸、肝衰病、臌胀病、胰痈、酒癖等。,
38,吐酸,临床以酸水自胃中上涌至咽喉，随即咽下，或由口中吐出等为特征的症状。多因肝气郁结，胃气不和，或因肝火犯胃，或宿食不化，食伤脾胃，或脾胃虚寒，饮停上泛等所致。注： 常见于伤食、食管瘅、胃疡、胃胀病等。,"吞酸, 泛酸, 噫酸"
39,腹痛,临床以胃脘与季肋以下，耻骨毛际以上的腹部自觉疼痛，或切按则痛等为特征的症状，有心下痛、胁腹痛、脐腹痛、小腹痛、少腹痛之分。多因外感六淫及虫、食、石、粪等内外损伤，痹阻脏腑气血，或气血亏虚等所导致的各种急慢性病变。,
40,腹胀,临床以自觉腹部胀满不适，或腹部膨胀、叩之有声等为特征的症状。多因湿热蕴结肝胆、脾虚气滞、寒湿困脾等所导致的各种急慢性病变。,
41,腹泻,临床以大便次数增多，粪质稀薄等为特征的症状，有暴泻与久泻之分。多因外感风寒湿热疫毒之邪，或饮食所伤，或情志失调，或久病脾肾阳气亏虚等所致。注： 常见于脾胃、大小肠、肝胆胰的病变。,
42,腹水,临床以水停腹内，或叩之有移动性浊音等为特征的症状。多因气滞、血瘀、脾虚失运、湿热蕴结等原因所致。注： 常见于臌胀、癥积、痨病等。,
43,便秘,临床以7天内排便少于2次，或长期无便意，或虽有便意，大便质硬难解等为特征的症状。多因胃肠积热，或阳虚寒凝，或气血阴津亏损，或腹内癥块阻结等所致。注： 常见于肠道病变，以及肛门部病变、肌痿、风痱、颤病、肠外肿块压迫、温热病滥用或过服温燥收涩类方药、腹部手术后、高龄老人、全身衰惫状态等。,
44,便血,临床以血自肛门排出，包括血随便出，血色鲜红，或便黑如柏油状，或粪便中夹血，或单纯下血等为特征的症状。多因脾胃虚弱，气不统血，或胃肠积热、湿热蕴结、气血瘀滞于肠胃等所致。注： 常见于肛门部疾病、胃肠病变、疫斑热、稻瘟病、血溢病、紫癜病，以及黄胖病、蛊虫病、部分食物或药物中毒等。,
45,腰痛,临床以自觉腰部脊柱或其两侧疼痛，或切按则痛等为特征的症状。多因肾系病变及腰部外伤、劳损，寒湿或湿热侵着等所致。注： 常见于肾系病和痹病类、淋证、妇科经带疾病、急性腰扭伤、腰痹、偏痹等。,
46,尿血,临床以血随小便排出，或肉眼血尿，显微镜下红细胞阳性等为特征的症状。多因膀胱湿热、阴虚火旺、心火亢盛、疫毒或药毒等伤及肾与膀胱，损伤脉络所致。注： 常见于石淋、热淋、子淋、肾瘅、肾痨，肾及膀胱的癌瘤，某些血液病变、传染病等。,
47,尿浊,临床以小便混浊，白如泔浆，排尿时多无疼痛等为特征的症状。多因湿热下注、脾肾亏虚等所致。注： 常见于丝虫病、肾痨、精浊、肾系癌瘤，小儿外感或内伤病，胸腹部创伤或手术等。,
48,水肿,临床以眼睑或头面、四肢、全身浮肿，或按之凹陷等为特征的症状。多因外邪侵袭，或劳倦内伤，或饮食失调，使气化不利而水液潴留，泛滥肌肤所致。注： 常见于风水、皮水、石水、正水、肾水、溢饮、脾水、心衰、经行浮肿、子肿等。,
49,关节痛,临床以自觉关节疼痛为特征的症状。多因外力损伤骨与关节，或风寒湿热等邪侵及关节，经气不利，关节阻痹所致。注： 常见于关节脱位及骨损伤、肢体痹病，以及流痰等。,
50,瘫痪,临床以一侧或双侧肢体痿软、纵弛不用等为特征的症状。多因寒湿热毒瘀痰等邪阻滞经络，或因精血亏虚而筋肉失养，或因颅脑病变及经气阻滞等所致。注： 常见于中风、风痱、气厥、脑部肿瘤，软脚瘟等疫病，肌痿、脚气、痿躄、肢痿等躯体病，头颅或脊柱损伤、手术创伤等。,
51,震颤,临床以手足颤动，或头部摇晃不能自主等为特征的症状。多因肝肾精血亏少，气阴不足，筋脉失养，虚风内动，或因风痰阻络等所致。注： 常见于颤病、脑萎、气厥等。,
52,紫斑,临床以皮肤黏膜出现不高出肤面的青紫色或紫红色斑块、斑点，按压不退色等为特征的症状。多因热毒窜络，血热妄行，或脾虚气不摄血，或外伤等，使血不循经，外溢肌肤所致。注： 常见于外伤、紫癜病、髓劳、妊娠紫癜，以及外感热病、中毒等。,
53,出疹,临床以皮肤出现高出肤面的红色或白色疹点为特征的症状。多因风热、风湿、疫毒等邪外侵，蕴郁肌肤所致。注： 常见于小儿风痧、麻疹、奶麻、水痘、蛇串疮、烂喉丹痧等多种外感温热病，以及湿疮、痱癳、疥疮、风土疮、血风疮、血疳疮、经行风疹块、妊娠风疹、药疹等皮肤病。,
54,瘙痒,临床以自觉瘙痒难忍为特征的症状。多因风邪外袭，或因血热内扰，或血虚失养等所致。注： 常见于各种皮肤黏膜疾病，以及食物过敏、药物过敏等。,皮肤瘙痒
