efficacy,code,name,resource,composition,efficacy.1,indications,alias
解表方-辛温解表,600110260,小青龙加石膏汤,《金匮要略》,麻黄，白芍，桂枝，细辛，甘草，干姜，五味子，法半夏，石膏,解表化饮，清热除烦,寒饮郁肺，夹热喘逆证。症见咳嗽，气喘，胸胀闷塞，恶寒发热，无汗，痰多清稀，微有烦躁，舌苔白或黄白相兼，脉浮,
解表方-辛温解表,600110277,麻黄醇酒汤,《备急千金要方》,麻黄，黄酒,发汗解表,身目发黄，色泽浅淡，恶寒重，发热轻，无汗，脉浮,
解表方-辛温解表,600110284,麻黄附子汤,《金匮要略》,麻黄，甘草，炮附片,发汗行水，温经助阳,阳虚风水证。症见一身悉肿，恶风寒，不发热，身无汗，口不渴；舌苔白，脉沉小,
解表方-辛温解表,600110291,瓜萎桂枝汤,《金匮要略》,天花粉，桂枝，白芍，甘草，生姜，大枣,解肌发表，生津舒筋,柔痉。外感风寒，头痛发热，汗出恶风，身体强，颈项强急，俯仰不能自如，脉沉迟,
解表方-辛温解表,600110307,桂枝加黄芪汤,《金匮要略》,桂枝，白芍，甘草，生姜，大枣，黄芪,调和营卫，解表祛湿，助阳散邪,(1)黄汗证。身体肿重，状如风水，如有物在皮中，腰以上汗出，腰以下无汗，腰膝冷痛，两胫自冷，甚者周身疼痛，小便不利，舌淡苔白，脉沉无力。(2)黄疸。身体面目俱黄，周身疼重，发热恶寒，微自汗出，脉浮者,
解表方-辛温解表,600110314,桂枝加附子汤,《伤寒论》,桂枝，白芍，炙甘草，生姜，大枣，炮附片,祛风散寒，除湿止痛,太阳病汗后，表邪未解，表阳又虚证。汗出不止、恶风、小便短难、四肢微急、屈伸不利,
解表方-辛温解表,600110321,甘草麻黄汤,《金匮要略》,甘草，麻黄,发汗宣肺利水,风水，一身面目悉肿，或腰以上肿甚，身微热，口不渴，无汗，小便不利者,与“麻黄甘草汤”(《三因极一病证方论》)为异名同方
解表方-辛温解表,600110338,麻黄加术汤,《金匮要略》,麻黄，桂枝，炙甘草，焊苦杏仁，白术,发汗解表，散寒祛湿,寒湿痹证。身体烦疼，无汗，遇风寒湿则加剧，或关节疼痛，舌淡，苔薄，脉浮或紧,与“麻黄白术汤”(《三因极一病证方论》)为异名同方
解表方-辛温解表,600110345,麻黄杏仁薏苡甘草汤,《金匮要略》,麻黄，炙甘草，薏苡仁，焊苦杏仁,发汗解表，利湿清热,风湿痹证。周身疼痛，无汗，微恶风寒，发热日晡所甚，舌苔白腻，脉浮缓,"与""薏苡麻黄汤""(《外台秘要》引《古今录验方》)、“杏仁薏苡汤”(《伤寒总病论》)、“麻黄杏仁薏苡仁汤”(《普济方》)、“麻黄杏仁甘草薏苡汤”(《万氏家传保命歌括》)、“麻杏薏苡甘草汤”(《证治宝鉴》)、“麻黄杏子薏苡甘草汤”(《医钞类编》)、“麻杏苡甘汤”(《金匮要略释义》)为异名同方"
解表方-辛温解表,600110352,行气香苏散,《古今医鉴》引三山陈氏方,紫苏叶，柴胡，陈皮，醋香附，乌药，川芎，羌活，枳壳，苍术，麻黄，甘草,疏散风寒，行气和中止痛,内伤生冷厚味坚硬之物，胸腹胀满疼痛，及外感风寒湿气，发热恶寒，遍身酸痛，七情气逆，呕吐泄泻，饮食不下,
解表方-辛温解表,600110369,神术散,《太平惠民和剂局方》,漂苍术，藁本，白芷，羌活，细辛，炙甘草，川芎,发汗解表，化浊辟秽,外感风寒湿邪，头痛项强，发热憎寒，身体疼痛；伤风鼻塞声重，咳嗽头昏,与“神术汤”(《伤寒绪论》)为异名同方
解表方-辛凉解表,600120016,银翘散,《温病条辨》,金银花，连翘，荆芥，薄荷，桔梗，淡豆豉，牛劳子，甘草，淡竹叶，芦根,辛凉解表，清热解毒,温病初起，发热无汗，或有汗不畅，微恶寒，头痛口渴，咳嗽咽痛，舌尖红，苔薄白或薄黄，脉浮数者,
解表方-辛凉解表,600120023,桑菊饮,《温病条辨》,桑叶，菊花，连翘，薄荷，桔梗，芦根，焊苦杏仁，甘草,疏风清热，宣肺止咳,风温初起，咳嗽，身热不甚，口微渴，苔薄白，脉浮数者,
解表方-辛凉解表,600120030,麻黄杏仁甘草石膏汤,《伤寒论》,麻黄，焊苦杏仁，炙甘草，石膏,辛凉宣肺，清热平喘,外感风邪，邪热蕴肺证。肺热喘咳，甚则气急，鼻翼扇动，有汗或无汗，身热不解，口渴；舌苔薄白或黄，脉滑数,"又名：麻黄杏子甘草石膏汤。与“麻黄杏仁汤”(《普济方》)、“麻黄杏子草膏汤”(《赤水玄珠全集》)、“麻杏甘石汤""(《张氏医通》)、""四物甘草汤”(《千金方衍义》)、“麻杏石甘汤""(《医宗金鉴》)为异名同方"
解表方-辛凉解表,600120047,柴葛解肌汤,《伤寒六书》,柴胡，葛根，甘草，黄芩片，羌活，白芷，白芍，桔梗，生姜，大枣，石膏,解肌清热,外感风寒，郁而化热证。恶寒发热，头痛肢酸，目疼鼻干，眼眶疼痛，心烦不眠；舌苔薄黄，脉浮微洪,"与“葛根解肌汤”(《古今医鉴》)、""柴胡解肌汤""(《万病回春》)为异名同方"
解表方-辛凉解表,600120054,升麻葛根汤,《太平惠民和剂局方》,升麻，白芍，炙甘草，葛根,解肌透疹,麻疹初起。疹发而不透，身热头痛，咳嗽，目赤流泪，口渴；舌红苔薄干，脉浮数,
解表方-辛凉解表,600120061,越婢加半夏汤,《金匮要略》,麻黄，石膏，生姜，大枣，甘草，姜半夏,宣肺泄热，降逆化饮,肺胀，咳嗽上气，胸满气喘，目如脱状，脉浮大者,
解表方-辛凉解表,600120078,越婢加术汤,《金匮要略》,麻黄，石膏，甘草，大枣，白术，生姜,疏风泄热，发汗利水,皮水，一身面目悉肿，发热恶风，小便不利，苔白脉沉者,
解表方-辛凉解表,600120085,宣毒发表汤,《痘疹仁端录》,升麻，葛根，枳壳，防风，荆芥，薄荷，木通，连翘，牛劳子，淡竹叶，甘草，前胡，桔梗,透疹解毒，宣肺止咳,麻疹透发不出，发热咳嗽，烦躁口渴，小便赤者,
解表方-辛凉解表,600120092,辛夷清肺饮,《外科正宗》,辛夷，黄芩片，栀子，麦冬，百合，石膏，知母，甘草，枇杷叶，升麻,清肺通窍,风热郁滞肺经，致生鼻痔，鼻内息肉，初如榴子，渐大下垂，闭塞鼻孔，气不宣通者,
解表方-辛凉解表,600120108,芎菊上清丸,《全国中药成药处方集》,川芎，菊花，黄芩片，白芷，桔梗，栀子，连翘，防风，蔓荆子，荆芥穗，甘草，羌活，薄荷，藁本，黄连片,清热解表，散风止痛,用于外感风邪引起的恶风身热，偏正头痛，鼻流清涕，牙疼喉痛,
解表方-辛凉解表,600120122,驱风散热饮子,《审视瑶函》,连翘，炒，牛劳子，防风，羌活，薄荷，大黄，赤芍，甘草，川芎，当归尾，栀子,疏风散邪，兼以清热,天行赤热，目赤疼痛，或睑肿头重，怕日羞明，泪涕交流,
解表方-辛凉解表,600120139,解肌透痧汤,《喉痧症治概要》,连翘，桔梗，前胡，荆芥穗，淡豆豉，炒，牛劳子，竹茹，蝉蜕，射干，甘草，葛根，马勃，炒僵蚕，浮萍,辛凉宣透，清热利咽,痧麻初起，恶寒发热，咽喉肿痛，妨于咽饮，遍体酸痛，烦闷呕恶,
解表方-辛凉解表,600120146,葛根汤,《伤寒论》,葛根，麻黄，桂枝，白芍，炙甘草，生姜，大枣,发汗解表，升津舒筋,外感风寒表实证。恶寒发热，头痛，项背强几几，身痛无汗，腹微痛，或下利，或干呕，或微喘：舌淡苔白，脉浮紧者,"与“葛根麻黄汤”(《三因极一病证方论》)、“麻黄葛根汤”(《杏苑生春》)、""麻黄加葛根汤""(《伤寒大白》）为异名同方"
解表方-辛凉解表,600120153,加味桔梗汤,《医学心悟》,桔梗，甘草，浙贝母，橘红，金银花，薏苡仁，炒葶苈子，白，及,清肺排脓解毒,肺痈脓成溃脓期。症见咳吐大量脓痰、或夹血、腥臭异常，有时咯血、胸中烦闷而痛，身热面赤，烦渴喜饮，舌苔黄腻，舌质红，脉滑数或数实,
解表方-辛凉解表,600120160,喉科六味汤,《喉科指掌》,荆芥，防风，炒僵蚕，桔梗，薄荷，甘草,疏风利咽,风寒或风热所致咽喉病初起,
解表方-辛凉解表,600120177,牛蒡解肌汤,《疡科心得集》,牛劳子，薄荷，荆芥，连翘，栀子，牡丹皮，干石斛，玄参，夏枯草,疏风清热，凉血消肿,头面风热，颈项痰毒，风热牙痛，兼有表证者,
解表方-辛凉解表,600120184,清神散,《类编朱氏集验医方》,菊花，炒僵蚕，荆芥穗，羌活，川芎，木通，防风，木香，甘草，石菖蒲,祛风痰，清头目，开耳窍,头目不清，耳聋作痛，脉浮数者,
解表方-辛凉解表,600120191,文蛤汤,《金匮要略》,蛤壳，麻黄，石膏，苦杏仁，甘草，生姜，大枣,清热止渴，宣散风水,口渴欲饮，身热恶风，头痛身重，或头身微肿，或咳喘胸闷，烦躁不安；舌红苔白，脉浮数有力,
解表方-辛凉解表,600120207,柴归饮,《景岳全书》,当归，白芍，柴胡，荆芥穗，炙甘草,养营透疹,痘疮或麻疹初起，发热未退，无实邪者,
解表方-辛凉解表,600120214,香葛汤,《世医得效方》,紫苏叶，白芍，香附，升麻，葛根，陈皮，白芷，川芎，漂苍术，甘草,疏风解表，升阳止泻,治四时感冒不正之气，头痛身疼，项强寒热，呕恶痰嗽，腹痛泄泻。不问阴阳两感，或风寒湿瘴，服之大效,
解表方-扶正解表,600130015,败毒散,《太平惠民和剂局方》,柴胡，前胡，川芎，麸炒枳壳，羌活，独活，茯苓，桔梗，人参，甘草,散寒祛湿，益气解表,伤寒时气，气虚外感风寒湿表证。头痛项强，壮热恶寒，身体烦疼，及寒壅咳嗽，鼻塞声重，风痰头痛，呕哕寒热；舌淡苔白，脉浮,原名：人参败毒散；方名见“败毒散”(《类证活人书》)
解表方-扶正解表,600130022,参苏饮,《太平惠民和剂局方》,人参，紫苏叶，葛根，前胡，桔梗，姜半夏，茯苓，陈皮，麸炒枳壳，木香，炙甘草,益气解表，理气化痰,虚人外感风寒，内伤痰饮证。恶寒发热，头痛鼻塞，咳嗽痰多，胸膈满闷，或痰积中脘，眩晕嘈杂，怔忡哕逆；苔白，脉弱,与“十味参苏散”(《保婴金镜录》)为异名同方
解表方-扶正解表,600130039,麻黄细辛附子汤,《伤寒论》,麻黄，炮附片，细辛,助阳解表,素体阳虚，外感风寒，无汗恶寒，发热倦卧，苔白脉反沉者,"与“麻黄附子细辛汤""(《注解伤寒论》)、""附子细辛汤""(《三因极一病证方论》)为异名同方"
解表方-扶正解表,600130046,加减葳蕤汤,《重订通俗伤寒论》,玉竹，葱白，白薇，淡豆豉，薄荷，大枣，炙甘草，桔梗,滋阴解表,阴虚之体，外感风热证。头痛身热，微恶风寒，咳嗽咽干，痰稠难出，无汗或有汗不多，口渴心烦，舌赤脉数者,
解表方-扶正解表,600130053,仓廪散,《普济本事方》,人参，茯苓，前胡，川芎，麸炒枳壳，羌活，独活，桔梗，陈仓米，甘草，柴胡，薄荷，生姜,益气解表，祛湿和胃,噤口痢。下痢，呕逆不食，食入则吐，恶寒发热，无汗，肢体酸痛；苔白腻，脉浮濡,与“仓廪汤”(《传信适用方》)为异名同方
解表方-扶正解表,600130060,荆防败毒散,《摄生众妙方》,荆芥，防风，羌活，独活，川芎，柴胡，前胡，桔梗，枳壳，茯苓，甘草,发散风寒，解表祛湿,疮肿初起，红肿热痛，恶寒发热，发汗不渴；舌苔白，脉浮数,
解表方-扶正解表,600130084,再造散,《伤寒六书》,黄芪，人参，桂枝，甘草，炮附片，细辛，羌活，防风，川芎，煨姜，大枣,助阳益气，发汗解表,阳虚外感，恶寒发热，寒重热轻，头痛项强，肢冷无汗，倦怠嗜睡，舌淡苔白，脉弱无力，或浮大无力,
解表方-扶正解表,600130091,麻黄附子甘草汤,《伤寒论》,麻黄，炮附片，炙甘草,温经发汗解表,少阴病，恶寒身疼，无汗，微发热，脉沉微者,"与“麻黄甘草附子汤""(《古今医统大全》)、“附子麻黄汤""(《赤水玄珠全集》)为异名同方"
解表方-扶正解表,600130107,葱白七味饮,《外台秘要》引许仁则方,葱白，葛根，淡豆豉，生姜，麦冬，地黄，甘草,养血解表,病后阴血亏虚，调摄不慎，感受外邪，或失血之后复经感冒，头痛身热，微寒无汗者,与“七味葱白汤”(《类证活人书》)为异名同方
解表方-扶正解表,600130114,桂枝新加汤,《伤寒论》,桂枝，白芍，炙甘草，人参，大枣，生姜,调和营卫，益气和营,太阳病发汗后，邪已净而营虚，身疼痛，脉沉迟者，或伴有怠惰倦卧，身体酸软，心悸气短，面黄少华，舌淡、脉弱,"原名：桂枝加芍药生姜各一两人参三两新加汤；方名见“桂枝新加汤""(《伤寒图歌活人指掌》)。与""桂枝加芍药生姜人参汤”""桂枝加芍药生姜人参新加汤""(《金匮玉函经》)、""桂枝芍药人参生姜汤”(《伤寒图歌活人指掌》)、“桂枝加芍药人参新加汤”(《中国医学大辞典》)、“新加汤”(《伤寒论方解》)为异名同方"
解表方-扶正解表,600130121,黄芪芍药桂枝苦酒汤,《金匮要略》,黄芪，白芍，桂枝，醋,益气固表，调和营卫,黄汗证。身体肿重，状如风水，发热汗出，甚或身体疼痛，小便不利；舌质淡苔白，脉沉无力,又名：芪芍桂酒汤
解表方-表里双解,600140014,大柴胡汤,《金匮要略》,柴胡，黄芩片，白芍，姜半夏，大黄，麸炒枳实，生姜，大枣,和解少阳，内泻热结,少阳，阳明合病，往来寒热，胸胁苦满，呕不止，郁郁微烦，心下痞硬或满痛，大便秘结，或协热下利，舌苔黄，脉弦有力者,
解表方-表里双解,600140021,厚朴七物汤,《金匮要略》,姜厚朴，甘草，大黄，枳实，桂枝，大枣，生姜,解肌发表，行气除满,外感表证未罢，里实已成。腹满，大便不通，发热，脉浮而数,与“厚朴七味汤”(《外台秘要》)、七物厚朴汤(《袖珍方》引《太平圣惠方》)为异名同方
解表方-表里双解,600140038,防风通圣散,《黄帝素问宣明论方》,防风，川芎，当归，酒白芍，大黄，薄荷，麻黄，连翘，芒硝，石膏，黄芩片，桔梗，白术，滑石粉，甘草，荆芥，栀子,疏风解表，泻热通里,风热壅盛，表里俱实，憎寒壮热，头目昏眩，目赤睛痛，口苦口干，咽喉不利，涕唾稠黏，大便秘结，小便赤涩，疮疡肿毒，肠风痔漏，鼻赤瘾疹，苔腻微黄，脉数有力,与“通圣散”(《伤寒标本心法类萃》)、“双解散”(《目经大成》)为异名同方
解表方-表里双解,600140045,双解汤,《庞赞襄中医眼科经验》,金银花，蒲公英，黄芩片，天花粉，蜜桑白皮，枳壳，龙胆，羌活，防风，荆芥，薄荷，大黄，滑石粉，石膏，甘草,内清外解,内蕴热气，外感寒湿邪。大便秘结,
解表方-表里双解,600140052,葛根芩连汤合升阳除湿汤,《伤寒论》《兰室秘藏》,葛根，黄芩片，黄连片，甘草，柴胡，麸炒苍术，羌活，防风，麸炒升麻，麸炒六神曲，泽泻，猪苓，陈皮，炒麦芽,清热除湿，升阳固脱,湿热下注，清阳不升之泄泻、脱肛证,
解表方-表里双解,600140069,桂枝人参汤,《伤寒论》,桂枝，炙甘草，白术，人参，干姜,温中解表,太阳病，外证未除，而数下之，遂协热下利，利下不止，心下痞硬，表里不解者,
解表方-表里双解,600140076,表里双解汤,《张皆春眼科证治》,薄荷，荆芥，酒大黄，牡丹皮，赤芍，桑白皮，金银花，酒黄芩，石膏,内清外解,风热并重，白睛红赤肿胀，高出风轮，胞肿如桃，痛痒间作者,
解表方-表里双解,600140090,香苏饮,《医宗金鉴》,广藿香，紫苏叶，姜厚朴，陈皮，麸炒枳壳，茯苓，煨木香，炙甘草,理气解表,外感风寒，内有气滞。症见形寒身热，头痛无汗，胸脘痞闷，不思饮食，舌苔薄白等,
解表方-表里双解,600140106,牛劳子散,《太平圣惠方》,牛劳子，白矾，大黄，当归，枳壳，川芎，炙甘草,清热化痰，理气通便,治热毒上攻，头面烦热，大便不畅,
解表方-表里双解,600140120,葛根加半夏汤,《伤寒论》,葛根，麻黄，炙甘草，白芍，桂枝，生姜，法半夏，大枣,发汗解表，降逆止呕,太阳与阳明合病，见发热恶寒，下利而呕，脉象浮大而数者,与“葛根半夏汤”(《伤寒图歌活人指掌》)为异名同方
解表方-表里双解,600140137,桂枝二越婢一汤,《伤寒论》,桂枝，白芍，麻黄，炙甘草，生姜，石膏，大枣,发汗解表，解郁清热,太阳病表未解里有热。发热恶寒、热多寒少，无汗，口渴烦，脉浮紧,与“桂枝越婢汤”(《金镜内台方议》)为异名同方
解表方-表里双解,600140144,桂枝加大黄汤,《伤寒论》,桂枝，白芍，炙甘草，大枣，生姜，大黄,和络止痛，行气通便,外感风寒表虚，兼有里实，发热恶风，汗出，腹满大实痛，拒按，大便秘结，脉浮大而弦数,"与“桂枝大黄汤”(《伤寒图歌活人指掌》)、""桂枝芍药大黄汤""(《伤寒大白》)、""桂枝加芍药大黄汤""(《皇汉医学》)为异名同方"
解表方-表里双解,600140151,黄芩加半夏生姜汤,《伤寒论》,黄芩片，炙甘草，白芍，法半夏，生姜，大枣,清热止利，和胃降逆,太阳少阳合病火邪迫于肠胃下利或呕。头痛发热，口苦，自下利，呕吐，脉弦数,
解表方-表里双解,600140168,麻黄升麻汤,《伤寒论》,麻黄，炙甘草，升麻，当归，知母，黄，岑，片，玉竹，白芍，石膏，白术，干姜，天冬，桂枝，茯苓,发越郁阳，清上温下,胃阳素虚，肺阴不足体质者，或外邪郁久化热者，或外寒伤肺，内有胃阳素虚所致的喘咳、肺痈、咽喉肿痛,
解表方-表里双解,600140175,文蛤散,《伤寒论》,蛤壳,清热润燥，生津止渴,口渴，饮水不能止渴，时有头晕；舌质微红，脉细数,
解表方-表里双解,600140182,竹叶汤,《金匮要略》,淡竹叶，葛根，防风，桔梗，桂枝，人参，甘草，炮附片，大枣，生姜,清热，温脾散寒,产后阳虚外感。发热恶寒，头身疼痛，无汗而喘，面赤目痛，或四肢欠温，舌质淡红，苔白薄，脉浮面无力,与“竹叶防风汤(《类证活人书》)为异名同方
解表方-表里双解,600140199,五积散,《仙授理伤续断秘方》,苍术，枯，梗，枳壳，陈皮，白芍，白芷，川芎，当归，炙甘草，肉桂，茯苓，法半夏，厚朴，干姜，麻黄,发表温里，顺气化痰，活血消积,外感风寒，内伤生冷。身热无汗，头痛身疼，项背拘急，胸满恶食，呕|吐腹痛，以及妇人血气不和，心腹疼痛，月经不调等属于寒性者,
泻下方-寒下,600210014,大承气汤,《伤寒论》,大黄，厚朴，枳实，芒硝,峻下热结,阳明腑实证。症见大便不通，频转矢气，脘腹痞满，腹痛拒按，按之硬，日哺潮热，神昏谵语，手足激然汗出，舌苔黄燥起刺或焦黑燥裂，脉沉实，或热结旁流，下得清水，色纯青，脐腹疼痛，按之坚硬有块，或里热实证之热厥，痉病或发狂等,
泻下方-寒下,600210021,大黄牡丹汤,《金匮要略》,大黄，牡丹皮，桃仁，冬瓜子，芒硝,泻热破瘀，散结消肿,肠痈初起。右少腹疼痛拒按，甚则局部有痞块，发热恶寒，自汗出，或右足屈而不伸；苔黄腻，脉滑数,"与“大黄牡丹皮汤""(《中医内科杂病证治新义》)为异名同方"
泻下方-寒下,600210038,小承气汤,《伤寒论》,大黄，厚朴，麸炒枳实,轻下热结，除满消痞,伤寒阳明腑实证，谵语潮热，大便秘结，胸腹痞满舌苔黄，脉滑数；痢疾初起，腹中痞痛，或脘腹胀满，里急后重者,
泻下方-寒下,600210045,大成汤,《仙授理伤续断秘方》,当归，大黄，芒硝，木通，苏木，枳壳，厚朴，红花，陈皮，甘草,攻下逐瘀,损伤初期，瘀血内蓄，里实热证。症见腹肚膨胀，大小便不通，上攻心腹闷乱至死者,
泻下方-寒下,600210052,调胃承气汤,《伤寒论》,大黄，炙甘草，芒硝,缓下热结,阳明病胃肠燥热，蒸蒸发热，口渴便秘，腹满拒按，舌苔正黄，脉滑数，亦用于肠胃热盛而见发斑吐衄，口齿咽喉肿痛，中消，疮疡等,
泻下方-寒下,600210069,三化汤,《素问病机气宜保命集》,大黄，厚朴，枳实，羌活,祛风，通便,中风，外有六经之形证，内有便溺之阻格,
泻下方-寒下,600210076,复方大承气汤,《中西医结合治疗急腹症》,姜厚朴，炒莱菔子，麸炒枳壳，大黄，赤芍，芒硝，焊桃仁,理气润肠通便,单纯性肠梗阻属于阳明腑实而气胀较明显者,
