id,name,description,alias
31,疏风清热,运用具有疏风解表、清泻里热等作用的方药或相关疗法，以治疗风寒郁热、卫表风湿、卫气同病、风热犯肺、肺经风热、肺胃风热、风热乘脾、表里俱热等所致病证的治法。,
32,透表清热,运用具有辛凉透表、淸泄里热等作用的方药或相关疗法，以治疗卫气同病等所致病证的治法。,
33,解表宣肺,运用具有解散表邪、宣发肺气等作用的方药或相关疗法，以治疗风寒袭肺、风寒闭肺或风温袭肺等所致病证的治法。,
34,疏风宣肺,运用具有疏散风邪、宣发肺气等作用的方药或相关疗法，以治疗邪郁肺卫、风邪袭肺等所致病证的治法。,
35,散寒清肺,运用具有发散表寒、清泻肺热等作用的方药或相关疗法，以治疗表寒肺热、邪郁肺卫等所致病证的治法。,
36,解表攻里,解表药与攻下药并用，以治疗表里俱实等所致病证的治法。,
37,解表清里,解表药与清里药并用，以治疗表邪兼里热等所致病证的治法。,
38,解肌清热,运用具有解肌透表、淸解热邪或热毒等作用的方药或相关疗法，以治疗表寒里热、邪郁卫表、热毒蕴结肌肤等所致病证的治法。,
39,解表清肺,运用具有解散表邪、清泻肺热等作用的方药或相关疗法，以治疗风热犯肺、风热郁肺等所致病证的治法。,
40,解表温里,解表药与温里祛寒药并用，以治疗表邪兼里寒等所致病证的治法。,
41,涌吐法,泛指运用具有催吐等作用的方药或相关疗法，通过呕吐排除有害物质，以治疗宿食、痰涎及食毒、药毒停蓄等所致病证的一类治法。,"吐法, 探吐法"
42,涌吐宿食,通过催吐而祛除宿食，以治疗饮食积滞、痰食互结、食积头痛、食积伤胃、食积腹痛等所致病证的治法。,
43,涌吐痰食,通过催吐而祛除痰食，以治疗痰食互结等所致病证的治法。,
44,涌吐痰诞,通过催吐而祛除痰涎，以治疗痰浊壅盛而病位偏于上、中焦病证的治法。,
45,涌吐风痰,通过催吐而祛除风痰，以治疗风痰闭阻等所致病证的治法。,
46,开关涌吐,通过具有探吐痰涎以开窍通闭作用的方药或相关疗法，治疗风痰闭神、痰闭心窍等所致病证的治法。,
47,攻下法,泛指运用具有泻热、通便、逐水、软坚、润肠等作用的方药或相关疗法，以治疗腑实热结、胃肠积滞、水饮停积、瘀血结聚等所致病证的一类治法。,"下法, 泻下法, 通下法, 攻里法"
48,清热攻下,清热泻火药与攻下通腑药并用，以治疗阳明腑实、腑实热结、大肠实热等所致病证的治法。,"清热通腑, 泻火通腑, 苦寒攻下, 苦寒通下, 峻下热结"
49,泻结行滞,攻下药与行气药并用，以治疗肠热气滞、大肠热结等所致病证的治法。,
50,急下存阴,通过急攻峻下以存阴液的方药或相关疗法，以治疗阳明燥结、热极伤阴等所致病证的治法。,
51,温下实寒,温阳散寒药与通里攻下药并用，以治疗寒凝腑实、阴寒内闭等所致病证的治法。,
52,温阳通便,温阳祛寒药与攻下通便药并用，以治疗阳虚寒凝等所致便秘病证的治法。,
53,攻下冷积,温阳散寒药与攻下药并用，以治疗沉寒冷积、阴寒内闭等所致腑实证的治法。,
54,益气通下,补气药与通下药并用，以治疗气虚等所致便秘病证的治法。,
55,润燥通便,增液润燥药与通下药并用，以治疗津伤肠燥、阴虚肠燥等所致便秘病证的治法。,
56,润肠泄热,滋阴润燥药与清热攻下药并用，以治疗热结肠燥等所致病证的治法。,
57,软坚润燥,软坚滋润药与通下药并用，以治疗津亏燥结等所致病证的治法。,
58,泻下逐水,攻下药与逐水药并用，以治疗水饮内停等所致病证的治法。,"攻逐水饮, 攻下逐水"
59,泻热逐水,运用具有清热、攻下、逐水作用的方药，以治疗热结水停等所致病证的治法。,
60,温阳逐水,运用具有温阳散寒、化气逐水作用的方药，以治疗阴寒内闭、阳虚水停等所致病证的治法。,
61,破积逐水,运用具有破淤散结、攻下逐水等作用的方药，以治疗饮停心包、饮停胸胁等所致病证的治法。,
62,和解法,泛指运用具有疏通表里，和解寒热，调和气血、阴阳、脏腑等作用的方药或相关疗法，以治疗表里或寒热、气血、阴阳不和，以及脏腑机能失调等所致病证的一类治法。,
63,和解表里,运用疏表达邪、清泻或温散里实，具有解表和里等作用的方药或相关疗法，以治疗表里之邪未解等所致病证的治法。,
64,和解少阳,运用具有和解表里、疏理气机、扶正达邪等作用的方药或相关疗法，以治疗邪入少阳、邪在少阳、热郁少阳等所致病证的治法。,
65,和解透表,运用具有和解表里、达邪透表等作用的方药或相关疗法，以治疗邪在半表半里或邪在气营等所致病证的治法。,
66,表里分消,发散表邪药与清泄里实药并用，促使病邪分别从表里消散的治法。,
67,开达膜原,运用具有辟秽化浊、透达膜原等作用的方药或相关疗法，以治疗邪伏膜原等所致病证的治法。,
68,驱邪截疟,运用具有驱除疟邪、截断疟疾病程等作用的方药或相关疗法，以治疗邪伏膜原、暑热内郁或寒毒内闭等所致疟疾的治法。,
69,寒温并用,运用具有温阳与清热等作用的方药或相关疗法，以治疗寒热错杂、阴阳不和等所致病证的治法。,
70,平调寒热,清热药与温阳药并用，以药性平和的方药或相关疗法，治疗寒热错杂、阴阳不调等所致病证的治法。,
71,辛开苦降,辛热药与苦寒药合用，以清热开痞、和胃降逆，治疗中焦寒热错杂、湿热互结，或肝郁化热、胃失和降等所致病证的治法。,
72,清上温中,清泄上焦热邪药与温补脾胃阳气药并用，以治疗上热中寒等所致病证的治法。,
73,温中清肠,温理中焦脾胃药与清泄肠热药并用，以治疗胃寒肠热等所致病证的治法。,
74,温下清上,温补脾肾药与清泄上焦药并用，以治疗上热下寒等所致病证的治法。,
75,调和气血,运用具有健脾理气、养血活血等作用的方药或相关疗法，以治疗气血失调、气血两虚等所致病证的治法。,"理气和血, 调理气血"
76,调气和营,运用具有健脾、理气、和营等作用的方药或相关疗法，以治疗气营两虚、营气亏虚等所致病证的治法。,
77,调理冲任,运用具有调摄冲任气血等作用的方药或相关疗法，以治疗冲任不调等所致病证的治法。,
78,调和肝脾,运用具有疏肝健脾、调理气机等作用的方药或相关疗法，以治疗肝郁脾虚、肝旺脾虚等所致病证的治法。,
79,疏肝理脾,运用具有疏肝理气、健脾助运等作用的方药或相关疗法，以治疗肝脾不和等所致病证的治法。,
80,疏肝健脾,运用具有疏肝理气、健运脾气等作用的方药或相关疗法，以治疗肝郁脾虚等所致病证的治法。,
81,抑肝扶脾,运用具有泻肝理气、健运脾气等作用的方药或相关疗法，以治疗肝旺脾虚等所致病证的治法。,"补脾泻肝, 抑木扶土"
82,疏肝和胃,运用具有疏肝理气、和胃等作用的方药或相关疗法，以治疗肝胃气滞、肝胃不和等所致病证的治法。,
83,解郁和胃,运用理气解郁为主，佐以具有和胃等作用的方药或相关疗法，以治疗肝胃气滞、胃滞气逆等所致病证的治法。,
84,抑肝和胃,运用理气抑肝为主，佐以具有和胃等作用的方药或相关疗法，以治疗肝胃气滞、肝气犯胃等所致病证的治法。,
85,泄肝和胃,运用清肝理气为主，佐以具有和胃等作用的方药或相关疗法，以治疗肝热气滞、胃失和降等所致病证的治法。,
86,调理脾胃,运用具有调畅气机、和调脾胃功能等作用的方药或相关疗法，以治疗脾胃不和等所致病证的治法。,
87,健脾和胃,运用调补脾气为主，佐以具有和胃等作用的方药或相关疗法，以治疗脾胃虚弱、脾胃不和等所致病证的治法。,
88,养胃和中,运用具有调补胃气、消滞和中等作用的方药或相关疗法，以治疗胃虚气滞等所致病证的治法。,
89,调中和胃,运用具有调理中焦气机、和胃等作用的方药或相关疗法，以治疗脾胃不和等所致病证的治法。,
90,和中缓急,运用具有和中理气，缓急止痛等作用的方药或相关疗法，以治疗脾胃不和、中焦虚寒气滞或寒湿中阻、中焦湿热等所致痛证的治法。,
91,调理肠胃,运用理气和胃为主，佐以具有消食化滞等作用的方药或相关疗法，以治疗胃肠气滞、食滞胃肠等所致病证的治法。,
92,清热法,泛指运用具有清热等作用的方药或相关疗法，以治疗外感邪热内扰或内伤发热等所致病证的一类治法。,
93,清热泻火,运用具有清泄火热、降气通腑等作用的方药或相关疗法，以治疗火热炽盛、热炽气分等所致病证的治法。,
94,苦寒清热,运用性寒味苦，具有清热泻火等作用的方药，以治疗火热炽盛、火热上炎、热炽气分等所致病证的治法。,
95,甘寒清热,运用性寒味甘，具有清泄火热等作用的方药，以治疗热盛伤津、火热伤阴等所致病证的治法。,
96,辛寒清热,运用味辛性寒，具有清泄透发邪热等作用的方药，以治疗卫气同病，或热在气分而里热有向外透达趋势等病证的治法。,
97,清热行滞,运用具有清泄火热、理气行滞等作用的方药或相关疗法，以治疗气滞热壅等所致病证的治法。,
98,清热止痛,运用具有清泄火热兼止痛等作用的方药或相关疗法，以治疗火热燔灼等所致痛证的治法。,
99,清热化斑,运用清泄火热及解毒为主，佐以具有止血化斑等作用的方药或相关疗法，以治疗热盛动血，或热毒、火毒、疫毒等所致斑疹病证的治法。,
100,清热止血,运用具有清泄火热、凉血止血等作用的方药或相关疗法，以治疗热盛动血、血热动血等所致病证的治法。,
101,清热解毒,运用具有清热泻火、祛邪解毒等作用的方药或相关疗法，以治疗热毒、火毒、疫毒等所致病证的治法。,"泻火解毒, 清泻火毒, 清火解毒, 清泻败毒"
102,清营解毒,运用具有清解营分热毒等作用的方药或相关疗法，以治疗热毒或火毒入营等所致病证的治法。,
103,凉血解毒,运用具有凉血散血、清解血分热毒等作用的方药或相关疗法，以治疗毒入营血、热毒或火毒入营血等所致病证的治法。,
104,解毒化斑,运用具有清热解毒、凉血化斑等作用的方药或相关疗法，以治疗热毒发斑、温毒发斑等所致病证的治法。,
105,清心解毒,运用具有清心泻火、解毒等作用的方药或相关疗法，以治疗热毒扰心等所致病证的治法。,
106,清肺解毒,运用具有清宣肺热、泻火解毒等作用的方药或相关疗法，以治疗热毒壅肺等所致病证的治法。,
107,清肝解毒,运用具有清泄肝热、泻火解毒等作用的方药或相关疗法，以治疗热毒蕴肝等所致病证的治法。,
108,清胃解毒,运用具有清胃热、解邪毒等作用的方药或相关疗法，以治疗火热邪毒壅滞于胃等所致病证的治法。,
109,清肠解毒,运用具有清解肠道热毒等作用的方药或相关疗法，以治疗热毒蕴肠等所致病证的治法。,
110,解毒消瘴,运用具有解毒辟疫、消瘴止疟等作用的方药或相关疗法，以治疗瘴气、疟毒等所致病证的治法。,
111,清热祛邪,运用具有清热散邪等作用的方药或相关疗法，以治疗火热炽盛等所致病证的治法。,
112,清热透邪,运用具有清解邪热外透等作用的方药或相关疗法，以治疗卫气同病或热在气分等所致病证的治法。,
113,清热透疹,运用具有清热凉营及透发等作用的方药或相关疗法，以治疗温热炽盛而疹透不畅等所致病证的治法。,
114,清热宣痹,运用具有清热祛邪、宣痹通络等作用的方药或相关疗法，以治疗热邪痹阻等所致病证的治法。,
115,清热凉营,运用具有清热泻火、凉营等作用的方药或相关疗法，以治疗气营两燔等所致病证的治法。,
116,清营泄热,运用具有清泄营分热邪等作用的方药或相关疗法，以治疗热入营血等所致病证的治法。,
117,清营透热,运用具有清热凉营、使营分之热转气分而解等作用的方药或相关疗法，以治疗气营两燔、热伏营分等所致病证的治法。,
118,清热凉血,运用具有清热泻火、凉血散血等作用的方药或相关疗法，以治疗气血两燔、热在血分等所致病证的治法。,
119,气血双清,运用具有清泄气分、血分之热邪等作用的方药或相关疗法，以治疗温病气血两燔等所致病证的治法。,
120,清营凉血,运用具有清泄营分热邪、凉血散血等作用的方药或相关疗法，以治疗热入营血等所致病证的治法。,
121,凉血清热,运用具有凉血散血、清热泻火等作用的方药或相关疗法，以治疗邪在血分等所致病证的治法。,
122,凉血止痢,运用具有清热凉血、止痢等作用的方药或相关疗法，以治疗血热等所致痢疾下血病证的治法。,
123,凉血化斑,运用具有清热凉血、解毒化斑等作用的方药或相关疗法，以治疗热入血分、毒入营血、火毒迫血等所致斑疹病证的治法。,
124,凉血止血,运用具有清热凉血、散血止血等作用的方药或相关疗法，以治疗血热动血等所致病证的治法。,
125,凉血润燥,运用具有清热凉血，增液润燥等作用的方药或相关疗法，以治疗血热化燥等所致病证的治法。,
126,凉血养阴,运用具有凉血散血、清热养阴等作用的方药或相关疗法，以治疗血热伤阴等所致病证的治法。,
127,清热散结,运用具有清热解毒、消散壅结等作用的方药或相关疗法，以治疗热毒壅结、痰热或瘀热搏结等所致病证的治法。,
128,清热散结止痛,运用具有清热解毒、消散壅结兼止痛等作用的方药或相关疗法，以治疗热毒炽盛、气血壅滞等所致痛证的治法。,
129,清热消肿,运用具有清热泻火、散结消肿等作用的方药或相关疗法，以治疗热郁成痈、火热或血热壅滞等所致病证的治法。,
130,清泄里热,运用具有清泄在里邪热等作用的方药或相关疗法，以治疗脏腑实热等所致病证的治法。,
131,清宣郁热,运用具有清解郁热、除烦等作用的方药或相关疗法，以治疗气郁化火、热扰心神等所致病证的治法。,"解郁泄热, 清热除烦, 清心除烦, 清泄郁热"
132,清心泻火,运用具有清心火、泄邪热等作用的方药或相关疗法，以治疗心火炽盛等所致病证的治法。,
133,清心导赤,运用具有清心泻火、导热下行等作用的方药或相关疗法，以治疗心火炽盛、小肠实热等所致病证的治法。,
134,清心凉营,运用具有清心泻火、凉营等作用的方药或相关疗法，以治疗热入心营等所致病证的治法。,
135,清心凉血,运用具有清心泻火、凉血散血等作用的方药或相关疗法，以治疗血热扰心等所致病证的治法。,
136,清心养阴,运用具有清心火、养阴液等作用的方药或相关疗法，以治疗心火旺阴液虚、心阴虚火旺等所致病证的治法。,
137,清心安神,运用具有清心、宁心安神等作用的方药或相关疗法，以治疗热扰心神等所致病证的治法。,
138,清心泻脾,运用具有清泻心脾热邪等作用的方药或相关疗法，以治疗心脾积热等所致病证的治法。,
139,清心泻肝,运用具有清泄心肝火热病邪等作用的方药或相关疗法，以治疗心肝火旺等所致病证的治法。,
140,清心泻肺,运用具有清泄心肺热邪等作用的方药或相关疗法，以治疗心肺热盛等所致病证的治法。,
141,清心泻肾,运用具有清泄心肾热邪等作用的方药或相关疗法，以治疗心肾火热等所致病证的治法。,
142,清热泻肺,运用具有清泄肺热等作用的方药或相关疗法，以治疗肺热炽盛等所致病证的治法。,
143,清热宣肺,运用具有清泄热邪、宣发肺气等作用的方药或相关疗法，以治疗肺热炽盛、风热闭肺等所致病证的治法。,
144,清肺止咳,运用具有清泄肺热、止咳等作用的方药或相关疗法，以治疗肺热炽盛等所致咳嗽病证的治法。,
145,清肺平喘,运用具有清泄肺热、降气平喘等作用的方药或相关疗法，以治疗肺热炽盛等所致气喘病证的治法。,
146,清泄膈热,运用具有清热凉膈等作用的方药或相关疗法，以治疗热扰胸膈等所致病证的治法。,
147,清肺化瘀,清解肺热药与活血化瘀药并用，以治疗肺热血瘀等所致病证的治法。,
148,清肺止血,运用具有清泄肺热、凉血止血等作用的方药或相关疗法，以治疗肺热炽盛等所致鼻衄、咳血病证的治法。,
149,清泻肺胃,运用具有清泄肺胃热邪等作用的方药或相关疗法，以治疗肺胃热盛等所致病证的治法。,
150,清肺泻肠,运用具有泻肺清肠润下等作用的方药或相关疗法，以治疗肺热移肠、肺热肠燥等所致病证的治法。,
151,清脾泄热,运用具有清泄脾胃热邪等作用的方药或相关疗法，以治疗脾胃实热等所致病证的治法。,"清泄脾胃伏火, 清脾泻火"
152,清胃泄热,运用具有清泄胃热等作用的方药或相关疗法，以治疗胃火炽盛等所致病证的治法。,"清胃泄火, 清胃降火"
153,清热和胃,运用具有清泄胃热、宽中和胃等作用的方药或相关疗法，以治疗胃火炽盛等所致病证的治法。,
154,清热止呕,运用具有清泄胃热，降逆止呕等作用的方药或相关疗法，以治疗胃热炽盛等所致呕吐病证的治法。,
155,清胃止血,运用具有清泄胃热、凉血止血等作用的方药或相关疗法，以治疗胃火炽盛等所致吐血病证的治法。,
156,清胃滋阴,运用具有清泄胃热、滋养胃阴等作用的方药或相关疗法，以治疗胃热阴虚等所致病证的治法。,
157,清胃行滞,运用具有清泄胃热、理气行滞等作用的方药或相关疗法，以治疗胃热气滞等所致病证的治法。,
158,清胃降逆,运用具有清泄胃热、和胃降逆等作用的方药或相关疗法，以治疗胃热气逆等所致病证的治法。,
159,清泻肠热,运用具有清泻肠道实热之邪等作用的方药或相关疗法，以治疗肠道实热等所致病证的治法。,
160,清肠止血,运用具有清泄肠道热邪、止血等作用的方药或相关疗法，以治疗肠道热盛络伤等所致便血病证的治法。,
161,清肠止泻,运用具有清泄肠道热邪、止泻等作用的方药或相关疗法，以治疗热滞肠道等所致泄泻病证的治法。,
162,清肠止痢,运用具有清泄肠道热邪、止痢等作用的方药或相关疗法，以治疗热滞肠道等所致痢疾病证的治法。,
163,清泻肝胆,运用具有清泄肝胆热邪等作用的方药或相关疗法，以治疗肝胆火热等所致病证的治法。,
164,清肝泄火,运用具有清泄肝经火热等作用的方药或相关疗法，以治疗肝经火旺、肝火炽盛、肝火上炎等所致病证的治法。,"清肝泻火, 清肝泄热"
165,疏肝清热,运用具有疏肝理气、清泄肝热等作用的方药或相关疗法，以治疗肝郁化火等所致病证的治法。,
166,清肝理气,清热药与理气药并用，以治疗肝热气滞等所致病证的治法。,
167,清肝化瘀,清肝药与化瘀药并用，以治疗肝热血瘀、肝瘀化热等所致病证的治法。,
168,清肝养阴,清热药与养阴药并用，以治疗肝热阴虚等所致病证的治法。,
169,泻肝清肺,运用具有泻肝火、清肺热等作用的方药或相关疗法，以治疗肝火犯肺、肝肺热盛等所致病证的治法。,
170,泻肝清胃,运用具有泻肝火、清胃热等作用的方药或相关疗法，以治疗肝火犯胃、肝胃热盛等所致病证的治法。,
171,清泄胆热,运用具有清泻胆经火热等作用的方药或相关疗法，以治疗胆经郁热等所致病证的治法。,
172,清泄相火,运用具有清泻相火等作用的方药或相关疗法，以治疗相火偏旺、相火妄动等所致病证的治法。,
173,清热通淋,运用具有清泻膀胱邪热、利水通淋等作用的方药或相关疗法，以治疗热淋、膀胱蓄热等所证病证的治法。,
174,清热调经,运用清热凉血为主，佐以具有调经等作用的方药或相关疗法，以治疗胞宫血热等所致病证的治法。,
175,清热止带,运用清热、解毒、泻火为主，佐以具有燥湿止带作用的方药或相关疗法，以治疗邪热炽盛等所致带下病证的治法。,
176,清热安胎,运用具有祛除热邪、安胎等作用的方药或相关疗法，以治疗热扰胞宫等所致胎动不安病证的治法。,
177,清泻虚热,运用具有清泻虚火、养阴等作用的方药或相关疗法，以治疗阴虚内热等所致病证的治法。,
178,潜降虚火,运用具有沉降虚火、引火下潜等作用的方药或相关疗法，以治疗虚火上炎、虚阳浮越、阴虚火旺等所致病证的治法。,
179,咸寒清热,运用性寒味咸，具有清热养阴等作用的方药或相关疗法，以治疗阴虚内热等所致病证的治法。,
180,清热除蒸,运用具有清虚热、除骨蒸等作用的方药或相关疗法，以治疗虚火内伏、骨蒸劳热等所致病证的治法。,
181,清热养阴,清热药与养阴药并用，以治疗火热伤阴等所致病证的治法。,
182,清热生津,运用具有清热邪、生津液等作用的方药或相关疗法，以治疗火热伤津、阴虚内热等所致病证的治法。,"甘凉清热, 泄热生津, 泄热存津"
183,清热止渴,运用具有清热泻火、生津止渴等作用的方药或相关疗法，以治疗热盛伤津等所致口渴病证的治法。,
184,理气法,泛指运用具有调理气机，促使人体升降出入机能恢复正常等作用的方药或相关疗法，以治疗气机阻滞或逆乱等所致病证的一类治法。,
185,理气解郁,运用具有疏通气机、消除郁滞等作用的方药或相关疗法，以治疗气机郁滞等所致病证的治法。,"行气解郁, 顺气解郁, 理气开郁, 行气开郁"
186,宣通气机,运用具有理气解郁、宣畅气机等作用的方药或相关疗法，以治疗气机不调等所致病证的治法。,
187,透邪解郁,运用具有宣透邪气、疏解郁滞等作用的方药或相关疗法，以治疗邪郁卫表、邪郁肺卫、邪郁少阳或邪郁肺胃等所致病证的治法。,
188,开郁降气,运用具有破气散结、下气降逆等作用的方药或相关疗法，以治疗气机阻滞、气机上逆、气机壅闭等所致病证的治法。,
189,宣肺解郁,运用具有理气解郁、宣畅肺气等作用的方药或相关疗法，以治疗气郁伤肺、肺气郁痹等所致病证的治法。,
190,宣肺通气,运用具有理气行滞、宣肺散邪等作用的方药或相关疗法，以治疗邪气束肺、肺气郁痹或气郁痰凝等所致病证的治法。,
191,疏肝理气,运用具有疏肝解郁、理气行滞等作用的方药或相关疗法，以治疗肝郁气滞等所致病证的治法。,
192,疏肝利胆,运用具有疏肝理气、利胆等作用的方药或相关疗法，以治疗肝胆瘀滞等所致病证的治法。,
193,平肝降逆,运用具有平抑肝气、降逆等作用的方药或相关疗法，以治疗肝气上逆或横逆等所致病证的治法。,
194,疏肝养血,运用具有疏肝解郁、养血补血等作用的方药或相关疗法，以治疗肝郁血虚等所致病证的治法。,
195,疏肝散结,运用疏肝理气为主，佐以具有化痰散结作用的方药或相关疗法，以治疗肝郁气结、肝郁痰凝等所致病证的治法。,"解郁散结, 理气散结"
196,疏肝化瘀,疏肝理气药与活血化瘀药并用，以治疗肝郁血瘀等所致病证的治法。,
197,疏肝通络,运用具有疏肝理气、通畅脉络等作用的方药或相关疗法，以治疗肝络瘀阻等所致病证的治法。,
198,行气降逆,运用具有理气、降气、镇逆等作用的方药或相关疗法，以治疗气机上逆、冲脉气逆等所致病证的治法。,
199,宣肺降逆,运用具有宣散外邪、肃肺降逆等作用的方药或相关疗法，以治疗肺气上逆，或痰饮阻肺、痰浊壅肺等所致病证的治法。,
200,宣肺止咳,运用具有宣肺降逆、止咳化痰等作用的方药或相关疗法，以治疗邪气阻滞，肺气上逆等所致咳嗽病证的治法。,"顺气止咳, 降逆止咳"
201,降逆平喘,运用具有下气降逆、肃肺平喘等作用的方药或相关疗法，以治疗肺气上逆、邪气束肺等所致哮喘病证的治法。,
202,宣肺平喘,运用具有降逆平喘、宣通肺气等作用的方药或相关疗法，以治疗邪气束肺、肺气上逆等所致哮喘病证的治法。,
203,泻肺平喘,运用具有降逆平喘、下气豁痰等作用的方药或相关疗法，以治疗肺气上逆、痰浊壅肺等所致病证的治法。,
204,和胃降逆,运用具有和胃气、降冲逆等作用的方药或相关疗法，以治疗胃气上逆等所致病证的治法。,
205,降逆止呕,运用具有和胃降逆、下气止呕等作用的方药或相关疗法，以治疗胃气上逆等所致呕吐病证的治法。,
206,降逆止呃,运用具有和胃降逆、下气止呃等作用的方药或相关疗法，以治疗胃气上逆等所致呃逆病证的治法。,
207,降逆消痞,运用具有和胃降逆、行气消痞等作用的方药或相关疗法，以治疗肝气犯胃、肝胃气滞等所致病证的治法。,
208,平冲降逆,运用具有重镇平冲、理气降逆等作用的方药或相关疗法，以治疗冲脉气逆等所致病证的治法。,
209,理气行滞,运用具有调理气机、疏通阻滞等作用的方药或相关疗法，以治疗气滞等所致病证的治法。,
210,行气和胃,运用具有理气解郁、宽中和胃等作用的方药或相关疗法，以治疗胃失和降、胃气郁滞等所致病证的治法。,"理气和胃, 理气健胃, 行气健胃"
211,理气消痞,运用具有理气行滞、消痞散结等作用的方药或相关疗法，以治疗气滞日久或气滞痰瘀等所致痞病的治法。,"行气散结, 行气消痞"
212,理气健脾,运用具有理气行滞、补气健脾等作用的方药或相关疗法，以治疗脾失健运、脾虚气滞、思虑伤脾等所致病证的治法。,
213,理气消肿,运用具有理气行滞、消除肿胀等作用的方药或相关疗法，以治疗气滞所致肿胀病证的治法。,
214,行气宽肠,运用具有理气行滞、和中宽肠等作用的方药或相关疗法，以治疗肠道气滞等所致病证的治法。,
215,利气疏导,运用具有行气导滞、疏利腑气等作用的方药或相关疗法，以治疗气机壅闭、腑气不通等所致病证的治法。,
216,理气调经,运用具有疏肝理气、调理月经等作用的方药或相关疗法，以治疗气滞等所致月经病证的治法。,
217,理气安胎,运用具有疏肝理气、安胎等作用的方药或相关疗法，以治疗气滞等所致胎动不安病证的治法。,
218,理气止痛,运用具有理气行滞、缓急止痛等作用的方药或相关疗法，以治疗气滞等所致痛证的治法。,
219,理气通络,运用具有理气行滞、活血通络等作用的方药或相关疗法，以治疗气滞血瘀、瘀阻脉络等所致病证的治法。,
